time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.282977,0.004218447166684887,-0.5530000740326917,-0.007286408742455715,0.7420632061395689,0.002684466378799474,1.2586312364599819,-0.003451456772742181,95.62398529052734,0.004218447166684887,-0.5472476460781214,-0.003451456772742181,0.7528010716547668,0.0011504855909140602,1.2578642460660392,0.0015339807878854137,100.0
0.283057,0.004218447166684887,-0.5530000740326917,-0.007286408742455715,0.7420632061395689,0.002684466378799474,1.2586312364599819,-0.003451456772742181,95.62398529052734,0.004218447166684887,-0.5472476460781214,-0.003451456772742181,0.7528010716547668,0.0011504855909140602,1.2578642460660392,0.0015339807878854137,100.0
0.293160,0.004601942363656241,-0.5518495884417776,-0.007286408742455715,0.7424467013365402,0.0030679615757708274,1.2586312364599819,-0.0030679615757708274,95.62398529052734,0.004218447166684887,-0.5476311412750927,-0.004218447166684887,0.7535680620487095,0.0015339807878854137,1.2570972556720965,0.0015339807878854137,100.0
0.303176,0.0038349519697135344,-0.5522330836387489,-0.007669903939427069,0.7416797109425975,0.0023009711818281204,1.2593982268539248,-0.0038349519697135344,95.62398529052734,0.0038349519697135344,-0.5476311412750927,-0.0030679615757708274,0.7531845668517382,0.0019174759848567672,1.257480750869068,0.0019174759848567672,100.0
0.313283,0.004218447166684887,-0.5526165788357204,-0.007286408742455715,0.7420632061395689,0.002684466378799474,1.2590147316569533,-0.002684466378799474,95.62398529052734,0.004601942363656241,-0.548014636472064,-0.0038349519697135344,0.7535680620487095,0.0015339807878854137,1.2567137604751253,0.0015339807878854137,100.0
0.323186,0.004218447166684887,-0.5518495884417776,-0.007669903939427069,0.7420632061395689,0.0019174759848567672,1.2586312364599819,-0.003451456772742181,95.62398529052734,0.004218447166684887,-0.5472476460781214,-0.003451456772742181,0.7528010716547668,0.0015339807878854137,1.257480750869068,0.0015339807878854137,100.0
0.333202,0.0038349519697135344,-0.5518495884417776,-0.007669903939427069,0.7420632061395689,0.0030679615757708274,1.2593982268539248,-0.0030679615757708274,95.62398529052734,0.0038349519697135344,-0.5472476460781214,-0.003451456772742181,0.7528010716547668,0.0015339807878854137,1.257480750869068,0.0015339807878854137,100.0
0.343168,0.0038349519697135344,-0.5522330836387489,-0.007669903939427069,0.7428301965335116,0.0019174759848567672,1.2586312364599819,-0.0030679615757708274,95.62398529052734,0.0030679615757708274,-0.5476311412750927,-0.0030679615757708274,0.7528010716547668,0.0019174759848567672,1.257480750869068,0.0019174759848567672,100.0
0.353204,0.0038349519697135344,-0.5510825980478349,-0.007669903939427069,0.7424467013365402,0.0023009711818281204,1.2582477412630106,-0.0030679615757708274,95.62398529052734,0.002684466378799474,-0.548014636472064,-0.0030679615757708274,0.7543350524426522,0.0019174759848567672,1.257480750869068,0.0015339807878854137,100.0
0.363179,0.0038349519697135344,-0.5518495884417776,-0.008053399136398421,0.7424467013365402,0.0030679615757708274,1.2590147316569533,-0.003451456772742181,95.62398529052734,0.003451456772742181,-0.5472476460781214,-0.0030679615757708274,0.7531845668517382,0.0019174759848567672,1.2570972556720965,0.0023009711818281204,100.0
0.373184,0.004601942363656241,-0.5514660932448062,-0.007286408742455715,0.7424467013365402,0.0019174759848567672,1.2586312364599819,-0.003451456772742181,95.62398529052734,0.003451456772742181,-0.5476311412750927,-0.003451456772742181,0.7535680620487095,0.0015339807878854137,1.2578642460660392,0.0019174759848567672,100.0
0.383209,0.004601942363656241,-0.5514660932448062,-0.007669903939427069,0.7420632061395689,0.0023009711818281204,1.2590147316569533,-0.002684466378799474,95.62398529052734,0.004218447166684887,-0.5483981316690354,-0.0030679615757708274,0.7539515572456809,0.0019174759848567672,1.2578642460660392,0.0015339807878854137,100.0
0.393177,0.0038349519697135344,-0.5514660932448062,-0.008436894333369775,0.7416797109425975,0.0023009711818281204,1.2582477412630106,-0.0030679615757708274,95.62398529052734,0.002684466378799474,-0.5476311412750927,-0.002684466378799474,0.7531845668517382,0.0015339807878854137,1.257480750869068,0.0019174759848567672,100.0
0.403185,0.004218447166684887,-0.5518495884417776,-0.007669903939427069,0.7424467013365402,0.0023009711818281204,1.2590147316569533,-0.002684466378799474,95.62398529052734,0.004601942363656241,-0.5472476460781214,-0.002684466378799474,0.7535680620487095,0.0019174759848567672,1.257480750869068,0.0023009711818281204,100.0
0.413263,0.004218447166684887,-0.5510825980478349,-0.007286408742455715,0.7424467013365402,0.0019174759848567672,1.2586312364599819,-0.0023009711818281204,95.62398529052734,0.004601942363656241,-0.5476311412750927,-0.0030679615757708274,0.7531845668517382,0.0011504855909140602,1.2570972556720965,0.0019174759848567672,100.0
0.423172,0.004601942363656241,-0.5514660932448062,-0.008053399136398421,0.7424467013365402,0.0019174759848567672,1.2590147316569533,-0.003451456772742181,95.62398529052734,0.002684466378799474,-0.5476311412750927,-0.0038349519697135344,0.7531845668517382,0.0011504855909140602,1.2570972556720965,0.002684466378799474,100.0
0.433252,0.004218447166684887,-0.5510825980478349,-0.008053399136398421,0.7424467013365402,0.0023009711818281204,1.2590147316569533,-0.0030679615757708274,95.62398529052734,0.0038349519697135344,-0.5476311412750927,-0.0030679615757708274,0.7531845668517382,0.0011504855909140602,1.257480750869068,0.0019174759848567672,100.0
0.443357,0.004601942363656241,-0.5503156076538922,-0.007669903939427069,0.7424467013365402,0.0030679615757708274,1.2590147316569533,-0.0030679615757708274,95.62398529052734,0.003451456772742181,-0.5483981316690354,-0.0030679615757708274,0.7531845668517382,0.0015339807878854137,1.2578642460660392,0.0019174759848567672,100.0
