time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.45,0.0038959626108407974,-0.5478552579879761,0.0030999593436717987,0.7455892562866211,-0.002528570592403412,1.2631975412368774,0.0009538971353322268,95.59186553955078,0.1557578593492508,-0.5504171848297119,0.006695974618196487,1.1890649795532227,-0.006759345531463623,0.011636830866336823,-0.04071405902504921,92.6666030883789
0.46,0.003893492743372917,-0.5478564500808716,0.00309612974524498,0.7455899715423584,-0.0025275051593780518,1.2631977796554565,0.0009525849018245935,95.59182739257812,0.15628483891487122,-0.5501618981361389,0.0066024065017700195,1.189121127128601,-0.006716802716255188,0.011318184435367584,-0.04065227136015892,92.6650390625
0.47000000000000003,0.0038913656026124954,-0.5478571057319641,0.003093235194683075,0.7455911636352539,-0.002527739852666855,1.263197660446167,0.0009514379780739546,95.59186553955078,0.15681059658527374,-0.5499069094657898,0.006507929414510727,1.189176321029663,-0.006674793548882008,0.01100005954504013,-0.04058950021862984,92.66352844238281
0.48000000000000004,0.0038885194808244705,-0.547858476638794,0.0030893757939338684,0.7455921173095703,-0.0025258678942918777,1.2631982564926147,0.0009500153828412294,95.59185791015625,0.15733838081359863,-0.5496503710746765,0.006414830684661865,1.189231514930725,-0.006632187403738499,0.01068047434091568,-0.040527839213609695,92.66194915771484
0.49000000000000005,0.0038863159716129303,-0.5478600263595581,0.0030863508582115173,0.7455931901931763,-0.00252569280564785,1.2631983757019043,0.0009488821960985661,95.59187316894531,0.15786445140838623,-0.5493957996368408,0.006321057677268982,1.1892873048782349,-0.006589682772755623,0.010362260043621063,-0.04046555235981941,92.66041564941406
0.5,0.0038849376142024994,-0.5478605031967163,0.003083314746618271,0.7455935478210449,-0.002525137737393379,1.2631980180740356,0.0009478260762989521,95.59190368652344,0.15839073061943054,-0.5491409301757812,0.006227798759937286,1.1893428564071655,-0.006547519937157631,0.010043531656265259,-0.04040331020951271,92.65886688232422
0.51,0.003882709890604019,-0.5478616952896118,0.0030797943472862244,0.7455940246582031,-0.0025240331888198853,1.2631982564926147,0.0009464421309530735,95.59190368652344,0.15891693532466888,-0.5488857626914978,0.0061340369284152985,1.1893982887268066,-0.006505039520561695,0.009725615382194519,-0.04034106805920601,92.65731048583984
0.52,0.003880120813846588,-0.5478624701499939,0.00307571142911911,0.7455947399139404,-0.002522876486182213,1.263198733329773,0.0009453240782022476,95.59192657470703,0.15944354236125946,-0.5486299991607666,0.006040271371603012,1.1894540786743164,-0.006462227553129196,0.009406499564647675,-0.040278512984514236,92.65577697753906
0.53,0.003877919167280197,-0.5478636026382446,0.003073282539844513,0.7455959320068359,-0.0025220196694135666,1.2631990909576416,0.0009433524683117867,95.5919189453125,0.15997488796710968,-0.5483733415603638,0.005944378674030304,1.1895099878311157,-0.00641967449337244,0.009085305035114288,-0.040215130895376205,92.6541976928711
0.54,0.0038756653666496277,-0.5478643178939819,0.0030710026621818542,0.7455968856811523,-0.002520015463232994,1.2631981372833252,0.0009432763326913118,95.59192657470703,0.16051900386810303,-0.5481110215187073,0.0058412812650203705,1.1895657777786255,-0.006375227123498917,0.008756175637245178,-0.04014771059155464,92.6526107788086
0.55,0.0038755182176828384,-0.5478650331497192,0.0030689574778079987,0.7455970048904419,-0.0025185849517583847,1.2631984949111938,0.000941447913646698,95.59194946289062,0.16106441617012024,-0.5478483438491821,0.005739036947488785,1.1896233558654785,-0.006330414675176144,0.008426472544670105,-0.04007943347096443,92.6510009765625
0.56,0.0038733109831809998,-0.5478659272193909,0.003066789358854294,0.7455973625183105,-0.002517513930797577,1.2631980180740356,0.0009411431383341551,95.59187316894531,0.16160786151885986,-0.5475864410400391,0.005635898560285568,1.189679503440857,-0.0062858713790774345,0.00809662789106369,-0.04001131281256676,92.6493911743164
0.5700000000000001,0.0038716550916433334,-0.547866940498352,0.003063749521970749,0.7455979585647583,-0.0025157462805509567,1.2631984949111938,0.0009400732815265656,95.59190368652344,0.1621534675359726,-0.5473234057426453,0.00553242489695549,1.1897366046905518,-0.006241301074624062,0.007766827940940857,-0.039943333715200424,92.64779663085938
0.5800000000000001,0.0038697514683008194,-0.5478677749633789,0.003061257302761078,0.7455979585647583,-0.002514168620109558,1.2631986141204834,0.0009387843310832977,95.59191131591797,0.16269853711128235,-0.5470611453056335,0.005429707467556,1.1897937059402466,-0.006196849048137665,0.007437266409397125,-0.039875272661447525,92.64617919921875
0.5900000000000001,0.003867749124765396,-0.5478683710098267,0.003059644252061844,0.7455989122390747,-0.002512902021408081,1.2631980180740356,0.0009388409089297056,95.59191131591797,0.16324251890182495,-0.5467988848686218,0.005326960235834122,1.1898505687713623,-0.006152722984552383,0.007108643651008606,-0.03980756923556328,92.64459228515625
0.6000000000000001,0.0038672350347042084,-0.5478698015213013,0.0030570104718208313,0.7455997467041016,-0.002510981634259224,1.2631977796554565,0.0009373282082378864,95.59190368652344,0.16378776729106903,-0.546536386013031,0.0052239783108234406,1.1899073123931885,-0.006107674911618233,0.00677846372127533,-0.03973934426903725,92.6429672241211
0.6100000000000001,0.0038645174354314804,-0.5478703379631042,0.0030548200011253357,0.7456004619598389,-0.002510214224457741,1.2631975412368774,0.0009364963043481112,95.59186553955078,0.1643318235874176,-0.5462740659713745,0.00512092188000679,1.1899633407592773,-0.006063465029001236,0.006449691951274872,-0.03967173025012016,92.64136505126953
